c2,s,BandGap1
1.2,0.26,0.14862
1.35,0.26,0.26221
1.5,0.26,0.3762
1.65,0.26,0.4898
1.8,0.26,0.60245
1.95,0.26,0.71377
2.1,0.26,0.82353
2.25,0.26,0.93157
2.4,0.26,1.0378
2.55,0.26,1.1421
2.7,0.26,1.2445
2.85,0.26,1.345
3,0.26,1.4437
3.15,0.26,1.5404
3.3,0.26,1.6353
3.45,0.26,1.7284
3.6,0.26,1.8197
3.75,0.26,1.9092
3.9,0.26,1.9971
4.05,0.26,2.0834
4.2,0.26,2.168
4.35,0.26,2.2511
4.5,0.26,2.3327
4.65,0.26,2.4127
4.8,0.26,2.4914
4.95,0.26,2.5686
5.1,0.26,2.6444
5.25,0.26,2.719
5.4,0.26,2.7922
5.55,0.26,2.8642
5.7,0.26,2.9349
5.85,0.26,3.0044
6,0.26,3.0728
6.15,0.26,3.14
6.3,0.26,3.2061
6.45,0.26,3.2711
6.6,0.26,3.3351
6.75,0.26,3.398
6.9,0.26,3.4599
7.05,0.26,3.5208
7.2,0.26,3.5808
7.35,0.26,3.6398
7.5,0.26,3.6979
7.65,0.26,3.7551
7.8,0.26,3.8114
7.95,0.26,3.8668
8.1,0.26,3.9214
8.25,0.26,3.9751
8.4,0.26,4.0281
8.55,0.26,4.0803
8.7,0.26,4.1316
8.85,0.26,4.1823
9,0.26,4.2322
9.15,0.26,4.2813
9.3,0.26,4.3298
9.45,0.26,4.3775
9.6,0.26,4.4246
9.75,0.26,4.4709
9.9,0.26,4.5167
10.05,0.26,4.5617
10.2,0.26,4.6062
10.35,0.26,4.65
10.5,0.26,4.6932
10.65,0.26,4.7359
10.8,0.26,4.7779
10.95,0.26,4.8193
11.1,0.26,4.8602
11.25,0.26,4.9006
11.4,0.26,4.9404
11.55,0.26,4.9796
11.7,0.26,5.0184
11.85,0.26,5.0566
12,0.26,5.0943
12.15,0.26,5.1315
12.3,0.26,5.1683
12.45,0.26,5.2045
12.6,0.26,5.2403
12.75,0.26,5.2757
12.9,0.26,5.3106
13.05,0.26,5.345
13.2,0.26,5.379
13.35,0.26,5.4126
13.5,0.26,5.4457
13.65,0.26,5.4784
13.8,0.26,5.5108
13.95,0.26,5.5427
14.1,0.26,5.5742
14.25,0.26,5.6054
14.4,0.26,5.6362
14.55,0.26,5.6666
14.7,0.26,5.6966
14.85,0.26,5.7263
15,0.26,5.7556
0.15,0.27,0.37534
0.3,0.27,0.39689
0.45,0.27,0.3523
0.6,0.27,0.27516
0.75,0.27,0.17983
0.9,0.27,0.074029
1.05,0.27,0.037702
1.2,0.27,0.15253
1.35,0.27,0.26863
1.5,0.27,0.38481
1.65,0.27,0.50029
1.8,0.27,0.61453
1.95,0.27,0.7272
2.1,0.27,0.83806
2.25,0.27,0.94698
2.4,0.27,1.0539
2.55,0.27,1.1587
2.7,0.27,1.2615
2.85,0.27,1.3622
3,0.27,1.4608
3.15,0.27,1.5574
3.3,0.27,1.6521
3.45,0.27,1.7448
3.6,0.27,1.8357
3.75,0.27,1.9247
3.9,0.27,2.0119
4.05,0.27,2.0973
4.2,0.27,2.1811
4.35,0.27,2.2632
4.5,0.27,2.3438
4.65,0.27,2.4227
4.8,0.27,2.5002
4.95,0.27,2.5761
5.1,0.27,2.6507
5.25,0.27,2.7238
5.4,0.27,2.7956
5.55,0.27,2.866
5.7,0.27,2.9352
5.85,0.27,3.0031
6,0.27,3.0698
6.15,0.27,3.1353
6.3,0.27,3.1996
6.45,0.27,3.2628
6.6,0.27,3.3249
6.75,0.27,3.3859
6.9,0.27,3.4459
7.05,0.27,3.5048
7.2,0.27,3.5627
7.35,0.27,3.6196
7.5,0.27,3.6756
7.65,0.27,3.7307
7.8,0.27,3.7848
7.95,0.27,3.838
8.1,0.27,3.8904
8.25,0.27,3.9419
8.4,0.27,3.9926
8.55,0.27,4.0425
8.7,0.27,4.0915
8.85,0.27,4.1398
9,0.27,4.1873
9.15,0.27,4.2341
9.3,0.27,4.2801
9.45,0.27,4.3254
9.6,0.27,4.37
9.75,0.27,4.414
9.9,0.27,4.4572
10.05,0.27,4.4998
10.2,0.27,4.5417
10.35,0.27,4.583
10.5,0.27,4.6237
10.65,0.27,4.6638
10.8,0.27,4.7033
10.95,0.27,4.7422
11.1,0.27,4.7805
11.25,0.27,4.8183
11.4,0.27,4.8555
11.55,0.27,4.8922
11.7,0.27,4.9283
11.85,0.27,4.964
12,0.27,4.9991
12.15,0.27,5.0337
12.3,0.27,5.0678
12.45,0.27,5.1015
12.6,0.27,5.1347
12.75,0.27,5.1674
12.9,0.27,5.1996
13.05,0.27,5.2315
13.2,0.27,5.2629
13.35,0.27,5.2938
13.5,0.27,5.3244
13.65,0.27,5.3545
13.8,0.27,5.3842
13.95,0.27,5.4135
14.1,0.27,5.4425
14.25,0.27,5.471
14.4,0.27,5.4992
14.55,0.27,5.527
14.7,0.27,5.5545
14.85,0.27,5.5816
15,0.27,5.6083
0.15,0.28,0.39142
0.3,0.28,0.41321
0.45,0.28,0.36563
0.6,0.28,0.28465
0.75,0.28,0.1855
0.9,0.28,0.076162
1.05,0.28,0.038699
1.2,0.28,0.15624
1.35,0.28,0.27466
1.5,0.28,0.3928
1.65,0.28,0.5099
1.8,0.28,0.62548
1.95,0.28,0.73921
2.1,0.28,0.8509
2.25,0.28,0.96044
2.4,0.28,1.0678
2.55,0.28,1.1728
2.7,0.28,1.2757
2.85,0.28,1.3763
3,0.28,1.4747
3.15,0.28,1.571
3.3,0.28,1.6652
3.45,0.28,1.7574
3.6,0.28,1.8476
3.75,0.28,1.9358
3.9,0.28,2.0222
4.05,0.28,2.1068
4.2,0.28,2.1895
4.35,0.28,2.2706
4.5,0.28,2.35
4.65,0.28,2.4277
4.8,0.28,2.5039
4.95,0.28,2.5785
5.1,0.28,2.6516
5.25,0.28,2.7233
5.4,0.28,2.7936
5.55,0.28,2.8625
5.7,0.28,2.93
5.85,0.28,2.9963
6,0.28,3.0613
6.15,0.28,3.125
6.3,0.28,3.1876
6.45,0.28,3.249
6.6,0.28,3.3092
6.75,0.28,3.3684
6.9,0.28,3.4264
7.05,0.28,3.4834
7.2,0.28,3.5394
7.35,0.28,3.5943
7.5,0.28,3.6483
7.65,0.28,3.7013
7.8,0.28,3.7534
7.95,0.28,3.8045
8.1,0.28,3.8548
8.25,0.28,3.9042
8.4,0.28,3.9527
8.55,0.28,4.0004
8.7,0.28,4.0473
8.85,0.28,4.0934
9,0.28,4.1387
9.15,0.28,4.1832
9.3,0.28,4.2271
9.45,0.28,4.2701
9.6,0.28,4.3125
9.75,0.28,4.3542
9.9,0.28,4.3952
10.05,0.28,4.4355
10.2,0.28,4.4751
10.35,0.28,4.5142
10.5,0.28,4.5526
10.65,0.28,4.5904
10.8,0.28,4.6276
10.95,0.28,4.6642
11.1,0.28,4.7002
11.25,0.28,4.7357
11.4,0.28,4.7706
11.55,0.28,4.805
11.7,0.28,4.8388
11.85,0.28,4.8721
12,0.28,4.905
12.15,0.28,4.9373
12.3,0.28,4.9691
12.45,0.28,5.0005
12.6,0.28,5.0314
12.75,0.28,5.0618
12.9,0.28,5.0918
13.05,0.28,5.1214
13.2,0.28,5.1505
13.35,0.28,5.1792
13.5,0.28,5.2075
13.65,0.28,5.2354
13.8,0.28,5.2628
13.95,0.28,5.2899
14.1,0.28,5.3166
14.25,0.28,5.343
14.4,0.28,5.3689
14.55,0.28,5.3945
14.7,0.28,5.4198
14.85,0.28,5.4447
15,0.28,5.4692
0.15,0.29,0.40726
0.3,0.29,0.42926
0.45,0.29,0.37877
0.6,0.29,0.29399
0.75,0.29,0.19103
0.9,0.29,0.078229
1.05,0.29,0.039655
1.2,0.29,0.15976
1.35,0.29,0.28031
1.5,0.29,0.40019
1.65,0.29,0.51868
1.8,0.29,0.63533
1.95,0.29,0.74985
2.1,0.29,0.86209
2.25,0.29,0.97195
2.4,0.29,1.0794
2.55,0.29,1.1844
2.7,0.29,1.287
2.85,0.29,1.3873
3,0.29,1.4853
3.15,0.29,1.581
3.3,0.29,1.6745
3.45,0.29,1.7658
3.6,0.29,1.8551
3.75,0.29,1.9423
3.9,0.29,2.0276
4.05,0.29,2.111
4.2,0.29,2.1925
4.35,0.29,2.2723
4.5,0.29,2.3503
4.65,0.29,2.4266
4.8,0.29,2.5013
4.95,0.29,2.5745
5.1,0.29,2.646
5.25,0.29,2.7161
5.4,0.29,2.7847
5.55,0.29,2.852
5.7,0.29,2.9178
5.85,0.29,2.9823
6,0.29,3.0455
6.15,0.29,3.1075
6.3,0.29,3.1682
6.45,0.29,3.2277
6.6,0.29,3.2861
6.75,0.29,3.3433
6.9,0.29,3.3994
7.05,0.29,3.4544
7.2,0.29,3.5084
7.35,0.29,3.5614
7.5,0.29,3.6134
7.65,0.29,3.6644
7.8,0.29,3.7144
7.95,0.29,3.7635
8.1,0.29,3.8117
8.25,0.29,3.8591
8.4,0.29,3.9056
8.55,0.29,3.9512
8.7,0.29,3.996
8.85,0.29,4.04
9,0.29,4.0833
9.15,0.29,4.1257
9.3,0.29,4.1674
9.45,0.29,4.2084
9.6,0.29,4.2487
9.75,0.29,4.2883
9.9,0.29,4.3272
10.05,0.29,4.3654
10.2,0.29,4.403
10.35,0.29,4.4399
10.5,0.29,4.4763
10.65,0.29,4.512
10.8,0.29,4.5471
10.95,0.29,4.5816
11.1,0.29,4.6156
11.25,0.29,4.649
11.4,0.29,4.6819
11.55,0.29,4.7142
11.7,0.29,4.746
11.85,0.29,4.7773
12,0.29,4.8081
12.15,0.29,4.8384
12.3,0.29,4.8683
12.45,0.29,4.8976
12.6,0.29,4.9265
12.75,0.29,4.955
12.9,0.29,4.983
13.05,0.29,5.0106
13.2,0.29,5.0378
13.35,0.29,5.0645
13.5,0.29,5.0909
13.65,0.29,5.1168
13.8,0.29,5.1424
13.95,0.29,5.1676
14.1,0.29,5.1924
14.25,0.29,5.2168
14.4,0.29,5.2409
14.55,0.29,5.2646
14.7,0.29,5.288
14.85,0.29,5.3111
15,0.29,5.3338
0.15,0.3,0.42313
0.3,0.3,0.44506
0.45,0.3,0.39166
0.6,0.3,0.30312
0.75,0.3,0.19641
0.9,0.3,0.080225
1.05,0.3,0.040571
1.2,0.3,0.1631
1.35,0.3,0.28562
1.5,0.3,0.40704
1.65,0.3,0.5267
1.8,0.3,0.64419
1.95,0.3,0.75927
2.1,0.3,0.87179
2.25,0.3,0.98171
2.4,0.3,1.089
2.55,0.3,1.1937
2.7,0.3,1.2958
2.85,0.3,1.3955
3,0.3,1.4926
3.15,0.3,1.5874
3.3,0.3,1.6799
3.45,0.3,1.7701
3.6,0.3,1.8582
3.75,0.3,1.9442
3.9,0.3,2.0281
4.05,0.3,2.11
4.2,0.3,2.1901
4.35,0.3,2.2683
4.5,0.3,2.3447
4.65,0.3,2.4194
4.8,0.3,2.4924
4.95,0.3,2.5637
5.1,0.3,2.6335
5.25,0.3,2.7018
5.4,0.3,2.7685
5.55,0.3,2.8339
5.7,0.3,2.8978
5.85,0.3,2.9604
6,0.3,3.0216
6.15,0.3,3.0816
6.3,0.3,3.1403
6.45,0.3,3.1979
6.6,0.3,3.2542
6.75,0.3,3.3094
6.9,0.3,3.3635
7.05,0.3,3.4164
7.2,0.3,3.4684
7.35,0.3,3.5193
7.5,0.3,3.5692
7.65,0.3,3.6181
7.8,0.3,3.6661
7.95,0.3,3.7131
8.1,0.3,3.7593
8.25,0.3,3.8045
8.4,0.3,3.8489
8.55,0.3,3.8925
8.7,0.3,3.9353
8.85,0.3,3.9772
9,0.3,4.0184
9.15,0.3,4.0588
9.3,0.3,4.0985
9.45,0.3,4.1375
9.6,0.3,4.1757
9.75,0.3,4.2133
9.9,0.3,4.2502
10.05,0.3,4.2864
10.2,0.3,4.322
10.35,0.3,4.357
10.5,0.3,4.3913
10.65,0.3,4.4251
10.8,0.3,4.4583
10.95,0.3,4.4909
11.1,0.3,4.5229
11.25,0.3,4.5544
11.4,0.3,4.5854
11.55,0.3,4.6159
11.7,0.3,4.6458
11.85,0.3,4.6753
12,0.3,4.7042
12.15,0.3,4.7327
12.3,0.3,4.7607
12.45,0.3,4.7883
12.6,0.3,4.8154
12.75,0.3,4.8421
12.9,0.3,4.8684
13.05,0.3,4.8942
13.2,0.3,4.9197
13.35,0.3,4.9447
13.5,0.3,4.9693
13.65,0.3,4.9936
13.8,0.3,5.0175
13.95,0.3,5.041
14.1,0.3,5.0642
14.25,0.3,5.087
14.4,0.3,5.1095
14.55,0.3,5.1316
14.7,0.3,5.1534
14.85,0.3,5.1749
15,0.3,5.1961
0.15,0.31,0.43936
0.3,0.31,0.46074
0.45,0.31,0.40428
0.6,0.31,0.312
0.75,0.31,0.20162
0.9,0.31,0.082145
1.05,0.31,0.041445
1.2,0.31,0.16627
1.35,0.31,0.2906
1.5,0.31,0.4134
1.65,0.31,0.53406
1.8,0.31,0.6522
1.95,0.31,0.76762
2.1,0.31,0.88023
2.25,0.31,0.98999
2.4,0.31,1.0969
2.55,0.31,1.201
2.7,0.31,1.3024
2.85,0.31,1.4011
3,0.31,1.4973
3.15,0.31,1.5909
3.3,0.31,1.6821
3.45,0.31,1.771
3.6,0.31,1.8576
3.75,0.31,1.942
3.9,0.31,2.0243
4.05,0.31,2.1045
4.2,0.31,2.1828
4.35,0.31,2.2592
4.5,0.31,2.3337
4.65,0.31,2.4065
4.8,0.31,2.4775
4.95,0.31,2.5469
5.1,0.31,2.6146
5.25,0.31,2.6808
5.4,0.31,2.7455
5.55,0.31,2.8087
5.7,0.31,2.8705
5.85,0.31,2.931
6,0.31,2.99
6.15,0.31,3.0478
6.3,0.31,3.1044
6.45,0.31,3.1597
6.6,0.31,3.2138
6.75,0.31,3.2668
6.9,0.31,3.3187
7.05,0.31,3.3694
7.2,0.31,3.4192
7.35,0.31,3.4679
7.5,0.31,3.5156
7.65,0.31,3.5623
7.8,0.31,3.6081
7.95,0.31,3.6529
8.1,0.31,3.6969
8.25,0.31,3.74
8.4,0.31,3.7823
8.55,0.31,3.8237
8.7,0.31,3.8643
8.85,0.31,3.9041
9,0.31,3.9432
9.15,0.31,3.9815
9.3,0.31,4.0191
9.45,0.31,4.056
9.6,0.31,4.0923
9.75,0.31,4.1278
9.9,0.31,4.1627
10.05,0.31,4.1969
10.2,0.31,4.2305
10.35,0.31,4.2636
10.5,0.31,4.296
10.65,0.31,4.3278
10.8,0.31,4.3591
10.95,0.31,4.3898
11.1,0.31,4.42
11.25,0.31,4.4497
11.4,0.31,4.4788
11.55,0.31,4.5075
11.7,0.31,4.5356
11.85,0.31,4.5633
12,0.31,4.5905
12.15,0.31,4.6173
12.3,0.31,4.6436
12.45,0.31,4.6694
12.6,0.31,4.6949
12.75,0.31,4.7199
12.9,0.31,4.7445
13.05,0.31,4.7688
13.2,0.31,4.7926
13.35,0.31,4.816
13.5,0.31,4.8391
13.65,0.31,4.8618
13.8,0.31,4.8842
13.95,0.31,4.9062
14.1,0.31,4.9279
14.25,0.31,4.9492
14.4,0.31,4.9702
14.55,0.31,4.9909
14.7,0.31,5.0113
14.85,0.31,5.0314
15,0.31,5.0512
0.15,0.32,0.45623
0.3,0.32,0.47648
0.45,0.32,0.41673
0.6,0.32,0.32066
0.75,0.32,0.20665
0.9,0.32,0.083986
1.05,0.32,0.042279
1.2,0.32,0.16926
1.35,0.32,0.29527
1.5,0.32,0.41931
1.65,0.32,0.54082
1.8,0.32,0.65946
1.95,0.32,0.77508
2.1,0.32,0.8876
2.25,0.32,0.99703
2.4,0.32,1.1034
2.55,0.32,1.2068
2.7,0.32,1.3073
2.85,0.32,1.4049
3,0.32,1.4998
3.15,0.32,1.5921
3.3,0.32,1.6819
3.45,0.32,1.7691
3.6,0.32,1.8541
3.75,0.32,1.9367
3.9,0.32,2.0172
4.05,0.32,2.0955
4.2,0.32,2.1719
4.35,0.32,2.2462
4.5,0.32,2.3187
4.65,0.32,2.3893
4.8,0.32,2.4581
4.95,0.32,2.5253
5.1,0.32,2.5908
5.25,0.32,2.6547
5.4,0.32,2.7171
5.55,0.32,2.778
5.7,0.32,2.8375
5.85,0.32,2.8956
6,0.32,2.9523
6.15,0.32,3.0077
6.3,0.32,3.0619
6.45,0.32,3.1148
6.6,0.32,3.1666
6.75,0.32,3.2172
6.9,0.32,3.2667
7.05,0.32,3.3151
7.2,0.32,3.3624
7.35,0.32,3.4088
7.5,0.32,3.4541
7.65,0.32,3.4985
7.8,0.32,3.5419
7.95,0.32,3.5845
8.1,0.32,3.6262
8.25,0.32,3.667
8.4,0.32,3.707
8.55,0.32,3.7461
8.7,0.32,3.7845
8.85,0.32,3.8221
9,0.32,3.859
9.15,0.32,3.8952
9.3,0.32,3.9306
9.45,0.32,3.9654
9.6,0.32,3.9995
9.75,0.32,4.0329
9.9,0.32,4.0657
10.05,0.32,4.0979
10.2,0.32,4.1295
10.35,0.32,4.1605
10.5,0.32,4.191
10.65,0.32,4.2209
10.8,0.32,4.2502
10.95,0.32,4.279
11.1,0.32,4.3073
11.25,0.32,4.3351
11.4,0.32,4.3624
11.55,0.32,4.3892
11.7,0.32,4.4156
11.85,0.32,4.4415
12,0.32,4.467
12.15,0.32,4.492
12.3,0.32,4.5166
12.45,0.32,4.5408
12.6,0.32,4.5646
12.75,0.32,4.588
12.9,0.32,4.611
13.05,0.32,4.6336
13.2,0.32,4.6559
13.35,0.32,4.6778
13.5,0.32,4.6993
13.65,0.32,4.7205
13.8,0.32,4.7414
13.95,0.32,4.762
14.1,0.32,4.7822
14.25,0.32,4.8021
14.4,0.32,4.8217
14.55,0.32,4.841
14.7,0.32,4.8601
14.85,0.32,4.8788
15,0.32,4.8972
0.15,0.33,0.47384
0.3,0.33,0.49246
0.45,0.33,0.4291
0.6,0.33,0.32913
0.75,0.33,0.21152
0.9,0.33,0.085749
1.05,0.33,0.04307
1.2,0.33,0.17207
1.35,0.33,0.29962
1.5,0.33,0.42478
1.65,0.33,0.547
1.8,0.33,0.66602
1.95,0.33,0.7817
2.1,0.33,0.89402
2.25,0.33,1.003
2.4,0.33,1.1087
2.55,0.33,1.2112
2.7,0.33,1.3107
2.85,0.33,1.4071
3,0.33,1.5007
3.15,0.33,1.5915
3.3,0.33,1.6797
3.45,0.33,1.7653
3.6,0.33,1.8484
3.75,0.33,1.9292
3.9,0.33,2.0077
4.05,0.33,2.0841
4.2,0.33,2.1583
4.35,0.33,2.2305
4.5,0.33,2.3007
4.65,0.33,2.3691
4.8,0.33,2.4357
4.95,0.33,2.5005
5.1,0.33,2.5637
5.25,0.33,2.6253
5.4,0.33,2.6852
5.55,0.33,2.7437
5.7,0.33,2.8007
5.85,0.33,2.8564
6,0.33,2.9106
6.15,0.33,2.9636
6.3,0.33,3.0153
6.45,0.33,3.0657
6.6,0.33,3.115
6.75,0.33,3.1631
6.9,0.33,3.2101
7.05,0.33,3.2561
7.2,0.33,3.301
7.35,0.33,3.3448
7.5,0.33,3.3878
7.65,0.33,3.4297
7.8,0.33,3.4708
7.95,0.33,3.5109
8.1,0.33,3.5502
8.25,0.33,3.5886
8.4,0.33,3.6263
8.55,0.33,3.6631
8.7,0.33,3.6992
8.85,0.33,3.7345
9,0.33,3.7691
9.15,0.33,3.8031
9.3,0.33,3.8363
9.45,0.33,3.8688
9.6,0.33,3.9008
9.75,0.33,3.9321
9.9,0.33,3.9627
10.05,0.33,3.9928
10.2,0.33,4.0223
10.35,0.33,4.0513
10.5,0.33,4.0797
10.65,0.33,4.1076
10.8,0.33,4.1349
10.95,0.33,4.1618
11.1,0.33,4.1882
11.25,0.33,4.2141
11.4,0.33,4.2395
11.55,0.33,4.2645
11.7,0.33,4.289
11.85,0.33,4.3131
12,0.33,4.3368
12.15,0.33,4.36
12.3,0.33,4.3829
12.45,0.33,4.4054
12.6,0.33,4.4275
12.75,0.33,4.4492
12.9,0.33,4.4706
13.05,0.33,4.4916
13.2,0.33,4.5123
13.35,0.33,4.5326
13.5,0.33,4.5526
13.65,0.33,4.5723
13.8,0.33,4.5917
13.95,0.33,4.6108
14.1,0.33,4.6295
14.25,0.33,4.648
14.4,0.33,4.6662
14.55,0.33,4.6841
14.7,0.33,4.7018
14.85,0.33,4.7192
15,0.33,4.7363
0.15,0.34,0.49212
0.3,0.34,0.50877
0.45,0.34,0.44147
0.6,0.34,0.33744
0.75,0.34,0.21622
0.9,0.34,0.087433
1.05,0.34,0.043817
1.2,0.34,0.17471
1.35,0.34,0.30365
1.5,0.34,0.42977
1.65,0.34,0.55257
1.8,0.34,0.67184
1.95,0.34,0.78747
2.1,0.34,0.89948
2.25,0.34,1.0079
2.4,0.34,1.1129
2.55,0.34,1.2144
2.7,0.34,1.3128
2.85,0.34,1.408
3,0.34,1.5002
3.15,0.34,1.5894
3.3,0.34,1.676
3.45,0.34,1.7598
3.6,0.34,1.8412
3.75,0.34,1.92
3.9,0.34,1.9965
4.05,0.34,2.0708
4.2,0.34,2.1429
4.35,0.34,2.213
4.5,0.34,2.281
4.65,0.34,2.3471
4.8,0.34,2.4114
4.95,0.34,2.4739
5.1,0.34,2.5347
5.25,0.34,2.5939
5.4,0.34,2.6514
5.55,0.34,2.7075
5.7,0.34,2.7621
5.85,0.34,2.8153
6,0.34,2.8671
6.15,0.34,2.9175
6.3,0.34,2.9668
6.45,0.34,3.0147
6.6,0.34,3.0615
6.75,0.34,3.1072
6.9,0.34,3.1518
7.05,0.34,3.1952
7.2,0.34,3.2377
7.35,0.34,3.2791
7.5,0.34,3.3196
7.65,0.34,3.3592
7.8,0.34,3.3978
7.95,0.34,3.4356
8.1,0.34,3.4725
8.25,0.34,3.5086
8.4,0.34,3.5439
8.55,0.34,3.5785
8.7,0.34,3.6123
8.85,0.34,3.6453
9,0.34,3.6777
9.15,0.34,3.7094
9.3,0.34,3.7404
9.45,0.34,3.7708
9.6,0.34,3.8005
9.75,0.34,3.8297
9.9,0.34,3.8582
10.05,0.34,3.8862
10.2,0.34,3.9137
10.35,0.34,3.9406
10.5,0.34,3.967
10.65,0.34,3.9929
10.8,0.34,4.0182
10.95,0.34,4.0432
11.1,0.34,4.0676
11.25,0.34,4.0916
11.4,0.34,4.1151
11.55,0.34,4.1382
11.7,0.34,4.1609
11.85,0.34,4.1832
12,0.34,4.2051
12.15,0.34,4.2266
12.3,0.34,4.2478
12.45,0.34,4.2686
12.6,0.34,4.289
12.75,0.34,4.309
12.9,0.34,4.3288
13.05,0.34,4.3482
13.2,0.34,4.3672
13.35,0.34,4.386
13.5,0.34,4.4044
13.65,0.34,4.4226
13.8,0.34,4.4405
13.95,0.34,4.458
14.1,0.34,4.4753
14.25,0.34,4.4924
14.4,0.34,4.5091
14.55,0.34,4.5257
14.7,0.34,4.5419
14.85,0.34,4.5579
15,0.34,4.5737
0.15,0.35,0.51083
0.3,0.35,0.52539
0.45,0.35,0.45386
0.6,0.35,0.34563
0.75,0.35,0.22078
0.9,0.35,0.08904
1.05,0.35,0.044519
1.2,0.35,0.17715
1.35,0.35,0.30733
1.5,0.35,0.43425
1.65,0.35,0.55749
1.8,0.35,0.67686
1.95,0.35,0.79231
2.1,0.35,0.90388
2.25,0.35,1.0117
2.4,0.35,1.1158
2.55,0.35,1.2163
2.7,0.35,1.3135
2.85,0.35,1.4073
3,0.35,1.4981
3.15,0.35,1.5858
3.3,0.35,1.6707
3.45,0.35,1.7528
3.6,0.35,1.8323
3.75,0.35,1.9092
3.9,0.35,1.9838
4.05,0.35,2.056
4.2,0.35,2.126
4.35,0.35,2.1939
4.5,0.35,2.2598
4.65,0.35,2.3237
4.8,0.35,2.3858
4.95,0.35,2.446
5.1,0.35,2.5045
5.25,0.35,2.5613
5.4,0.35,2.6166
5.55,0.35,2.6703
5.7,0.35,2.7225
5.85,0.35,2.7733
6,0.35,2.8228
6.15,0.35,2.8709
6.3,0.35,2.9178
6.45,0.35,2.9634
6.6,0.35,3.0078
6.75,0.35,3.0511
6.9,0.35,3.0933
7.05,0.35,3.1345
7.2,0.35,3.1746
7.35,0.35,3.2138
7.5,0.35,3.2519
7.65,0.35,3.2892
7.8,0.35,3.3256
7.95,0.35,3.3611
8.1,0.35,3.3958
8.25,0.35,3.4297
8.4,0.35,3.4628
8.55,0.35,3.4951
8.7,0.35,3.5267
8.85,0.35,3.5576
9,0.35,3.5879
9.15,0.35,3.6174
9.3,0.35,3.6464
9.45,0.35,3.6747
9.6,0.35,3.7024
9.75,0.35,3.7295
9.9,0.35,3.7561
10.05,0.35,3.7821
10.2,0.35,3.8076
10.35,0.35,3.8326
10.5,0.35,3.857
10.65,0.35,3.881
10.8,0.35,3.9045
10.95,0.35,3.9276
11.1,0.35,3.9502
11.25,0.35,3.9724
11.4,0.35,3.9941
11.55,0.35,4.0155
11.7,0.35,4.0364
11.85,0.35,4.057
12,0.35,4.0772
12.15,0.35,4.097
12.3,0.35,4.1165
12.45,0.35,4.1356
12.6,0.35,4.1544
12.75,0.35,4.1729
12.9,0.35,4.191
13.05,0.35,4.2089
13.2,0.35,4.2264
13.35,0.35,4.2436
13.5,0.35,4.2606
13.65,0.35,4.2773
13.8,0.35,4.2937
13.95,0.35,4.3098
14.1,0.35,4.3257
14.25,0.35,4.3413
14.4,0.35,4.3567
14.55,0.35,4.3718
14.7,0.35,4.3867
14.85,0.35,4.4014
15,0.35,4.4158
0.15,0.36,0.52966
0.3,0.36,0.54218
0.45,0.36,0.46622
0.6,0.36,0.35367
0.75,0.36,0.22519
0.9,0.36,0.090568
1.05,0.36,0.045175
1.2,0.36,0.17938
1.35,0.36,0.31063
1.5,0.36,0.43819
1.65,0.36,0.56168
1.8,0.36,0.68099
1.95,0.36,0.79611
2.1,0.36,0.90711
2.25,0.36,1.0141
2.4,0.36,1.1173
2.55,0.36,1.2167
2.7,0.36,1.3126
2.85,0.36,1.405
3,0.36,1.4943
3.15,0.36,1.5804
3.3,0.36,1.6636
3.45,0.36,1.7439
3.6,0.36,1.8216
3.75,0.36,1.8966
3.9,0.36,1.9692
4.05,0.36,2.0394
4.2,0.36,2.1074
4.35,0.36,2.1732
4.5,0.36,2.237
4.65,0.36,2.2987
4.8,0.36,2.3586
4.95,0.36,2.4167
5.1,0.36,2.473
5.25,0.36,2.5276
5.4,0.36,2.5806
5.55,0.36,2.6321
5.7,0.36,2.6821
5.85,0.36,2.7307
6,0.36,2.778
6.15,0.36,2.8239
6.3,0.36,2.8685
6.45,0.36,2.9119
6.6,0.36,2.9542
6.75,0.36,2.9953
6.9,0.36,3.0353
7.05,0.36,3.0743
7.2,0.36,3.1123
7.35,0.36,3.1493
7.5,0.36,3.1854
7.65,0.36,3.2205
7.8,0.36,3.2548
7.95,0.36,3.2883
8.1,0.36,3.3209
8.25,0.36,3.3527
8.4,0.36,3.3838
8.55,0.36,3.4142
8.7,0.36,3.4438
8.85,0.36,3.4728
9,0.36,3.5011
9.15,0.36,3.5288
9.3,0.36,3.5558
9.45,0.36,3.5822
9.6,0.36,3.6081
9.75,0.36,3.6334
9.9,0.36,3.6581
10.05,0.36,3.6824
10.2,0.36,3.7061
10.35,0.36,3.7293
10.5,0.36,3.752
10.65,0.36,3.7743
10.8,0.36,3.7961
10.95,0.36,3.8175
11.1,0.36,3.8384
11.25,0.36,3.859
11.4,0.36,3.8791
11.55,0.36,3.8989
11.7,0.36,3.9183
11.85,0.36,3.9373
12,0.36,3.9559
12.15,0.36,3.9742
12.3,0.36,3.9922
12.45,0.36,4.0098
12.6,0.36,4.0271
12.75,0.36,4.0442
12.9,0.36,4.0609
13.05,0.36,4.0773
13.2,0.36,4.0934
13.35,0.36,4.1093
13.5,0.36,4.1249
13.65,0.36,4.1402
13.8,0.36,4.1552
13.95,0.36,4.1701
14.1,0.36,4.1846
14.25,0.36,4.199
14.4,0.36,4.2131
14.55,0.36,4.2269
14.7,0.36,4.2406
14.85,0.36,4.254
